Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
05/15/2014,30335,22907,53242,7663,2784,10447,11088,15864,22907,38771,1912,4024
05/16/2014,30206,22915,53121,7530,2790,10320,11096,15862,22915,38777,1912,4024
05/17/2014,30241,22957,53198,7545,2774,10319,11113,15887,22957,38844,1918,4035
05/18/2014,30405,22997,53402,7643,2794,10437,11134,15923,22997,38920,1923,4045
05/19/2014,30394,22999,53393,7621,2808,10429,11131,15929,22999,38928,1919,4036
05/20/2014,30362,22977,53339,7612,2801,10413,11123,15917,22977,38894,1917,4032
05/21/2014,30396,23023,53419,7603,2805,10408,11157,15961,23023,38984,1915,4027
05/22/2014,30381,22996,53377,7619,2810,10429,11146,15938,22996,38934,1909,4014
05/23/2014,30318,23012,53330,7552,2805,10357,11147,15945,23012,38957,1912,4016
05/24/2014,30256,22987,53243,7537,2800,10337,11137,15923,22987,38910,1902,3996
05/25/2014,30225,23022,53247,7514,2781,10295,11160,15947,23022,38969,1896,3983
05/26/2014,30251,23014,53265,7543,2790,10333,11154,15945,23014,38959,1892,3973
05/27/2014,30338,23003,53341,7602,2805,10407,11138,15934,23003,38937,1905,3997
05/28/2014,30322,23005,53327,7591,2813,10404,11135,15925,23005,38930,1902,3993
05/29/2014,30328,22982,53310,7629,2805,10434,11129,15913,22982,38895,1896,3981
05/30/2014,30219,22993,53212,7505,2777,10282,11146,15942,22993,38935,1901,3995
05/31/2014,30221,22976,53197,7542,2768,10310,11139,15925,22976,38901,1897,3986
06/01/2014,30360,23023,53383,7602,2790,10392,11169,15963,23023,38986,1906,4005
06/02/2014,30341,23033,53374,7589,2778,10367,11162,15951,23033,38984,1914,4023
06/03/2014,30320,23004,53324,7595,2768,10363,11143,15932,23004,38936,1915,4025
06/04/2014,30308,23012,53320,7570,2778,10348,11144,15934,23012,38946,1913,4026
06/05/2014,30340,23012,53352,7577,2786,10363,11152,15950,23012,38962,1914,4027
06/06/2014,30286,23058,53344,7494,2782,10276,11177,15972,23058,39030,1921,4038
06/07/2014,30250,23086,53336,7446,2787,10233,11175,15975,23086,39061,1923,4042
06/08/2014,30382,23123,53505,7530,2803,10333,11197,16005,23123,39128,1924,4044
06/09/2014,30419,23094,53513,7602,2803,10405,11170,15970,23094,39064,1924,4044
06/10/2014,30406,23075,53481,7606,2816,10422,11164,15965,23075,39040,1913,4019
06/11/2014,30441,23103,53544,7596,2826,10422,11180,15989,23103,39092,1918,4030
06/12/2014,30462,23133,53595,7563,2831,10394,11200,16023,23133,39156,1926,4045
06/13/2014,30407,23179,53586,7508,2809,10317,11223,16048,23179,39227,1925,4042
06/14/2014,30372,23175,53547,7500,2797,10297,11221,16041,23175,39216,1920,4034
06/15/2014,30427,23203,53630,7528,2795,10323,11245,16074,23203,39277,1918,4030
06/16/2014,30529,23225,53754,7601,2816,10417,11250,16077,23225,39302,1920,4035
06/17/2014,30471,23179,53650,7583,2810,10393,11228,16048,23179,39227,1916,4030
06/18/2014,30540,23227,53767,7591,2820,10411,11244,16073,23227,39300,1928,4056
06/19/2014,30583,23252,53835,7592,2833,10425,11260,16105,23252,39357,1926,4053
06/20/2014,30476,23243,53719,7520,2808,10328,11257,16093,23243,39336,1926,4055
06/21/2014,30487,23246,53733,7538,2794,10332,11260,16098,23246,39344,1927,4057
06/22/2014,30605,23289,53894,7605,2813,10418,11288,16139,23289,39428,1923,4048
06/27/2014,30509,23227,53736,7516,2820,10336,11247,16110,23227,39337,1930,4063
06/28/2014,30518,23286,53804,7504,2809,10313,11288,16160,23286,39446,1922,4045
06/29/2014,30643,23343,53986,7567,2827,10394,11312,16194,23343,39537,1927,4055
06/30/2014,30605,23323,53928,7559,2829,10388,11292,16169,23323,39492,1924,4048
07/01/2014,30481,23261,53742,7514,2824,10338,11256,16113,23261,39374,1916,4030
07/03/2014,30434,23224,53658,7485,2796,10281,11253,16112,23224,39336,1920,4041
07/04/2014,30385,23223,53608,7454,2786,10240,11248,16106,23223,39329,1919,4039
07/05/2014,30440,23277,53717,7463,2774,10237,11277,16141,23277,39418,1930,4062
